"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own bicycle
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"1-4 times per month";"462 / 2,066";"22%";"402 / 2,061";"20%";"373 / 2,063";"18%";"771 / 3,576";"22%";"401 / 2,061";"19%";"468 / 2,064";"23%";"367 / 2,066";"18%";"330 / 2,064";"16%";"370 / 2,047";"18%"
"Every 2-3 months";"181 / 2,066";"9%";"132 / 2,061";"6%";"161 / 2,063";"8%";"251 / 3,576";"7%";"144 / 2,061";"7%";"177 / 2,064";"9%";"104 / 2,066";"5%";"178 / 2,064";"9%";"146 / 2,047";"7%"
"Less often";"337 / 2,066";"16%";"367 / 2,061";"18%";"275 / 2,063";"13%";"384 / 3,576";"11%";"260 / 2,061";"13%";"225 / 2,064";"11%";"231 / 2,066";"11%";"386 / 2,064";"19%";"256 / 2,047";"13%"
"Not at all";"524 / 2,066";"25%";"498 / 2,061";"24%";"859 / 2,063";"42%";"895 / 3,576";"25%";"691 / 2,061";"34%";"392 / 2,064";"19%";"863 / 2,066";"42%";"495 / 2,064";"24%";"698 / 2,047";"34%"
""
""
"2021 - Update 4"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,047 / 2,047";"100%";"4,061 / 4,061";"100%";"2,049 / 2,049";"100%";"2,050 / 2,050";"100%";"2,045 / 2,045";"100%";"2,051 / 2,051";"100%";"2,031 / 2,031";"100%"
"(Almost) daily";"191 / 2,050";"9%";"249 / 2,045";"12%";"114 / 2,047";"6%";"562 / 4,061";"14%";"180 / 2,049";"9%";"245 / 2,050";"12%";"149 / 2,045";"7%";"286 / 2,051";"14%";"228 / 2,031";"11%"
"2-5 times per week";"340 / 2,050";"17%";"370 / 2,045";"18%";"289 / 2,047";"14%";"859 / 4,061";"21%";"394 / 2,049";"19%";"530 / 2,050";"26%";"325 / 2,045";"16%";"385 / 2,051";"19%";"316 / 2,031";"16%"
"1-4 times per month";"448 / 2,050";"22%";"393 / 2,045";"19%";"367 / 2,047";"18%";"872 / 4,061";"21%";"384 / 2,049";"19%";"456 / 2,050";"22%";"380 / 2,045";"19%";"344 / 2,051";"17%";"342 / 2,031";"17%"
"Every 2-3 months";"188 / 2,050";"9%";"153 / 2,045";"7%";"164 / 2,047";"8%";"284 / 4,061";"7%";"149 / 2,049";"7%";"189 / 2,050";"9%";"117 / 2,045";"6%";"182 / 2,051";"9%";"162 / 2,031";"8%"
"Less often";"336 / 2,050";"16%";"383 / 2,045";"19%";"268 / 2,047";"13%";"475 / 4,061";"12%";"250 / 2,049";"12%";"242 / 2,050";"12%";"230 / 2,045";"11%";"377 / 2,051";"18%";"285 / 2,031";"14%"
"Not at all";"547 / 2,050";"27%";"497 / 2,045";"24%";"845 / 2,047";"41%";"1,009 / 4,061";"25%";"692 / 2,049";"34%";"388 / 2,050";"19%";"844 / 2,045";"41%";"477 / 2,051";"23%";"698 / 2,031";"34%"
""
""
"2022 - Update 1"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,032 / 2,032";"100%";"2,033 / 2,033";"100%";"4,525 / 4,525";"100%";"2,032 / 2,032";"100%";"2,034 / 2,034";"100%";"2,029 / 2,029";"100%";"2,035 / 2,035";"100%";"2,012 / 2,012";"100%"
"(Almost) daily";"197 / 2,035";"10%";"257 / 2,032";"13%";"109 / 2,033";"5%";"626 / 4,525";"14%";"180 / 2,032";"9%";"246 / 2,034";"12%";"150 / 2,029";"7%";"281 / 2,035";"14%";"214 / 2,012";"11%"
"2-5 times per week";"332 / 2,035";"16%";"389 / 2,032";"19%";"277 / 2,033";"14%";"935 / 4,525";"21%";"380 / 2,032";"19%";"504 / 2,034";"25%";"300 / 2,029";"15%";"383 / 2,035";"19%";"305 / 2,012";"15%"
"1-4 times per month";"445 / 2,035";"22%";"382 / 2,032";"19%";"376 / 2,033";"18%";"987 / 4,525";"22%";"401 / 2,032";"20%";"452 / 2,034";"22%";"374 / 2,029";"18%";"344 / 2,035";"17%";"372 / 2,012";"18%"
"Every 2-3 months";"201 / 2,035";"10%";"154 / 2,032";"8%";"168 / 2,033";"8%";"325 / 4,525";"7%";"156 / 2,032";"8%";"189 / 2,034";"9%";"124 / 2,029";"6%";"190 / 2,035";"9%";"171 / 2,012";"8%"
"Less often";"327 / 2,035";"16%";"359 / 2,032";"18%";"259 / 2,033";"13%";"554 / 4,525";"12%";"237 / 2,032";"12%";"258 / 2,034";"13%";"226 / 2,029";"11%";"370 / 2,035";"18%";"281 / 2,012";"14%"
"Not at all";"533 / 2,035";"26%";"491 / 2,032";"24%";"844 / 2,033";"42%";"1,098 / 4,525";"24%";"678 / 2,032";"33%";"385 / 2,034";"19%";"855 / 2,029";"42%";"467 / 2,035";"23%";"669 / 2,012";"33%"
""
""
"2022 - Update 2"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,033 / 2,033";"100%";"2,035 / 2,035";"100%";"5,028 / 5,028";"100%";"2,030 / 2,030";"100%";"2,035 / 2,035";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,773 / 1,773";"100%"
"(Almost) daily";"204 / 2,035";"10%";"242 / 2,033";"12%";"118 / 2,035";"6%";"710 / 5,028";"14%";"180 / 2,030";"9%";"249 / 2,035";"12%";"144 / 2,029";"7%";"260 / 2,033";"13%";"194 / 1,773";"11%"
"2-5 times per week";"338 / 2,035";"17%";"400 / 2,033";"20%";"282 / 2,035";"14%";"1,056 / 5,028";"21%";"361 / 2,030";"18%";"463 / 2,035";"23%";"312 / 2,029";"15%";"395 / 2,033";"19%";"258 / 1,773";"15%"
"1-4 times per month";"429 / 2,035";"21%";"369 / 2,033";"18%";"392 / 2,035";"19%";"1,069 / 5,028";"21%";"392 / 2,030";"19%";"472 / 2,035";"23%";"367 / 2,029";"18%";"340 / 2,033";"17%";"317 / 1,773";"18%"
"Every 2-3 months";"187 / 2,035";"9%";"167 / 2,033";"8%";"174 / 2,035";"9%";"384 / 5,028";"8%";"171 / 2,030";"8%";"194 / 2,035";"10%";"125 / 2,029";"6%";"197 / 2,033";"10%";"160 / 1,773";"9%"
"Less often";"316 / 2,035";"16%";"363 / 2,033";"18%";"247 / 2,035";"12%";"626 / 5,028";"12%";"236 / 2,030";"12%";"267 / 2,035";"13%";"241 / 2,029";"12%";"358 / 2,033";"18%";"256 / 1,773";"14%"
"Not at all";"561 / 2,035";"28%";"492 / 2,033";"24%";"822 / 2,035";"40%";"1,183 / 5,028";"24%";"690 / 2,030";"34%";"390 / 2,035";"19%";"840 / 2,029";"41%";"483 / 2,033";"24%";"588 / 1,773";"33%"
""
""
"2022 - Update 3"
""
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,035 / 2,035";"100%";"2,036 / 2,036";"100%";"5,532 / 5,532";"100%";"2,031 / 2,031";"100%";"2,036 / 2,036";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,463 / 1,463";"100%"
"(Almost) daily";"198 / 2,035";"10%";"239 / 2,035";"12%";"120 / 2,036";"6%";"758 / 5,532";"14%";"180 / 2,031";"9%";"243 / 2,036";"12%";"140 / 2,029";"7%";"237 / 2,033";"12%";"147 / 1,463";"10%"
"2-5 times per week";"326 / 2,035";"16%";"395 / 2,035";"19%";"280 / 2,036";"14%";"1,188 / 5,532";"21%";"368 / 2,031";"18%";"441 / 2,036";"22%";"309 / 2,029";"15%";"372 / 2,033";"18%";"200 / 1,463";"14%"
"1-4 times per month";"416 / 2,035";"20%";"367 / 2,035";"18%";"387 / 2,036";"19%";"1,181 / 5,532";"21%";"384 / 2,031";"19%";"482 / 2,036";"24%";"362 / 2,029";"18%";"331 / 2,033";"16%";"274 / 1,463";"19%"
"Every 2-3 months";"190 / 2,035";"9%";"181 / 2,035";"9%";"188 / 2,036";"9%";"411 / 5,532";"7%";"166 / 2,031";"8%";"203 / 2,036";"10%";"125 / 2,029";"6%";"201 / 2,033";"10%";"138 / 1,463";"9%"
"Less often";"315 / 2,035";"15%";"382 / 2,035";"19%";"248 / 2,036";"12%";"705 / 5,532";"13%";"244 / 2,031";"12%";"268 / 2,036";"13%";"233 / 2,029";"11%";"389 / 2,033";"19%";"216 / 1,463";"15%"
