"Sep=;"
Consumer Insights Global - Austria 2020 Update 2
Filter: -
Transportation usage frequency: Own / household car
How often do you use the following modes of transportation? (single-pick) Base: all respondents (Mobility, Travel)

""
"2018 - Update 1"
""
""
"2019 - Update 1"
""
"Answers";"Austria";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Answers";"Austria";"";"Finland";"";"France";"";"Germany";"";"Italy";"";"Poland";"";"Spain";"";"Sweden";"";"Switzerland";""
"";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent";"absolute";"percent"
"Base";"2,035 / 2,035";"100%";"2,035 / 2,035";"100%";"2,036 / 2,036";"100%";"5,532 / 5,532";"100%";"2,031 / 2,031";"100%";"2,036 / 2,036";"100%";"2,029 / 2,029";"100%";"2,033 / 2,033";"100%";"1,463 / 1,463";"100%"
"(Almost) daily";"882 / 2,035";"43%";"909 / 2,035";"45%";"960 / 2,036";"47%";"2,515 / 5,532";"45%";"1,203 / 2,031";"59%";"968 / 2,036";"48%";"1,017 / 2,029";"50%";"748 / 2,033";"37%";"585 / 1,463";"40%"
"2-5 times per week";"564 / 2,035";"28%";"518 / 2,035";"25%";"544 / 2,036";"27%";"1,446 / 5,532";"26%";"481 / 2,031";"24%";"453 / 2,036";"22%";"508 / 2,029";"25%";"548 / 2,033";"27%";"375 / 1,463";"26%"
"1-4 times per month";"202 / 2,035";"10%";"144 / 2,035";"7%";"213 / 2,036";"10%";"425 / 5,532";"8%";"173 / 2,031";"9%";"205 / 2,036";"10%";"219 / 2,029";"11%";"197 / 2,033";"10%";"181 / 1,463";"12%"
"Every 2-3 months";"27 / 2,035";"1%";"34 / 2,035";"2%";"51 / 2,036";"3%";"123 / 5,532";"2%";"40 / 2,031";"2%";"56 / 2,036";"3%";"39 / 2,029";"2%";"70 / 2,033";"3%";"35 / 1,463";"2%"
"Less often";"25 / 2,035";"1%";"38 / 2,035";"2%";"59 / 2,036";"3%";"93 / 5,532";"2%";"30 / 2,031";"1%";"39 / 2,036";"2%";"47 / 2,029";"2%";"64 / 2,033";"3%";"30 / 1,463";"2%"
"Not at all";"335 / 2,035";"16%";"392 / 2,035";"19%";"209 / 2,036";"10%";"930 / 5,532";"17%";"104 / 2,031";"5%";"315 / 2,036";"15%";"199 / 2,029";"10%";"406 / 2,033";"20%";"257 / 1,463";"18%"
""
